id,age,sex,story_id,test_type,story,decision,mist,sit,Factors
1,19,Férfi,1,baq,Néha reggel időre kell beérnem.,0,2,1,PlanningError
1,19,Férfi,2,baq,Néha pénzügyeket intézek.,0,2,1,Inattention
1,19,Férfi,3,baq,Néha határidőre kell valamit elkészítenem.,0,3,1,PlanningError
1,19,Férfi,4,baq,Néha hivatalos ügyet intézek.,2,1,1,Inattention
1,19,Férfi,5,baq,Néha sétálok.,1,1,1,Inattention
1,19,Férfi,6,baq,Néha értéktárgyak vannak nálam.,NA,NA,0,Dropped
1,19,Férfi,7,baq,Néha vezetek.,NA,NA,0,Dropped
1,19,Férfi,8,baq,Néha időre oda kell érnem valahova.,1,1,1,Dropped
1,19,Férfi,9,baq,Néha napközben értéktárgyak vannak nálam.,NA,NA,0,Dropped
1,19,Férfi,10,baq,Néha sok feladatom van.,0,5,1,PlanningError
1,19,Férfi,11,baq,Néha előre kell terveznem a kiadásaimmal.,1,3,1,Dropped
1,19,Férfi,12,baq,Néha kulcsot kell magammal vinnem.,NA,NA,0,Dropped
1,19,Férfi,13,baq,Néha egy fontos találkozóra kell odaérnem.,1,1,1,Dropped
1,19,Férfi,14,baq,Néha magammal kell vinnem a bérletem.,0,1,1,Dropped
1,19,Férfi,15,baq,Általában időre kell befizetnem számlákat.,0,1,1,Dropped
1,19,Férfi,16,baq,Néha időre kell odaérnem valahova.,0,2,1,Dropped
1,19,Férfi,17,baq,Néha valamit meg kell tanulnom.,2,5,1,PlanningError
1,19,Férfi,18,baq,Néha ruhát vásárolok.,NA,NA,0,Dropped
1,19,Férfi,19,baq,Néha vitatkozom emberekkel.,NA,NA,0,Dropped
1,19,Férfi,20,baq,Néha találkozom új emberekkel.,0,4,1,Dropped
1,19,Férfi,21,baq,Néha fontos megjelennem valahol.,NA,NA,0,Dropped
1,19,Férfi,22,baq,Néha főzök vagy sütök valamit.,NA,NA,0,Dropped
1,19,Férfi,23,baq,Általában jó viszonyt szeretnék fenntartani az emberekkel.,NA,NA,0,Dropped
1,19,Férfi,24,baq,Néha jelentkezési lapot kell beadnom.,1,1,1,Dropped
1,19,Férfi,25,baq,Néha tömegközlekedéssel utazom.,0,1,1,Inattention
1,19,Férfi,26,baq,Néha figyelni kell pénzköltéseimre.,2,1,1,Dropped
1,19,Férfi,27,baq,Néha fontos információkat kell átadni másoknak.,0,2,1,Inattention
1,19,Férfi,28,baq,"Néha fontos, hogy pontosan számoljak ki valamit.",NA,NA,0,Dropped
2,23,Nő,1,baq,Néha reggel időre kell beérnem.,1,5,1,PlanningError
2,23,Nő,2,baq,Néha pénzügyeket intézek.,0,4,1,Inattention
2,23,Nő,3,baq,Néha határidőre kell valamit elkészítenem.,1,1,1,PlanningError
2,23,Nő,4,baq,Néha hivatalos ügyet intézek.,1,1,1,Inattention
2,23,Nő,5,baq,Néha sétálok.,1,1,1,Inattention
2,23,Nő,6,baq,Néha értéktárgyak vannak nálam.,1,1,1,Dropped
